filepath,relative_path,device_type,damage_status,top_level_folder,has_damage_label,has_device_type_label,device_type_label_source,is_defect_folder,is_standard_device_image,is_defect_challenge,is_augmented,source_relative_path
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Defect_Localization_Images\device 3\1.png,device 3/1.png,device 3,Not-Damaged,device 3,True,True,folder-or-metadata,False,True,False,False,device 3/1.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Defect_Localization_Images\device 3\3.png,device 3/3.png,device 3,Not-Damaged,device 3,True,True,folder-or-metadata,False,True,False,False,device 3/3.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Defect_Localization_Images\device 3\4.png,device 3/4.png,device 3,Not-Damaged,device 3,True,True,folder-or-metadata,False,True,False,False,device 3/4.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Defect_Localization_Images\device 3\5.png,device 3/5.png,device 3,Not-Damaged,device 3,True,True,folder-or-metadata,False,True,False,False,device 3/5.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Defect_Localization_Images\device 3\6.png,device 3/6.png,device 3,Not-Damaged,device 3,True,True,folder-or-metadata,False,True,False,False,device 3/6.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Defect_Localization_Images\device 3\7.png,device 3/7.png,device 3,Not-Damaged,device 3,True,True,folder-or-metadata,False,True,False,False,device 3/7.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Defect_Localization_Images\device 3\stitching\Captured 1.png,device 3/stitching/Captured 1.png,device 3,Not-Damaged,device 3,True,True,folder-or-metadata,False,True,False,False,device 3/stitching/Captured 1.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Defect_Localization_Images\device 3\stitching\Captured 10.png,device 3/stitching/Captured 10.png,device 3,Not-Damaged,device 3,True,True,folder-or-metadata,False,True,False,False,device 3/stitching/Captured 10.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Defect_Localization_Images\device 3\stitching\Captured 11.png,device 3/stitching/Captured 11.png,device 3,Not-Damaged,device 3,True,True,folder-or-metadata,False,True,False,False,device 3/stitching/Captured 11.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Defect_Localization_Images\device 3\stitching\Captured 13.png,device 3/stitching/Captured 13.png,device 3,Not-Damaged,device 3,True,True,folder-or-metadata,False,True,False,False,device 3/stitching/Captured 13.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Defect_Localization_Images\device 3\stitching\Captured 14.png,device 3/stitching/Captured 14.png,device 3,Not-Damaged,device 3,True,True,folder-or-metadata,False,True,False,False,device 3/stitching/Captured 14.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Defect_Localization_Images\device 3\stitching\Captured 15.png,device 3/stitching/Captured 15.png,device 3,Not-Damaged,device 3,True,True,folder-or-metadata,False,True,False,False,device 3/stitching/Captured 15.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Defect_Localization_Images\device 3\stitching\Captured 16.png,device 3/stitching/Captured 16.png,device 3,Not-Damaged,device 3,True,True,folder-or-metadata,False,True,False,False,device 3/stitching/Captured 16.png
